 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/15/2025

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Ht","Pos","Games","Goals","Assists","Points","Per Game"
"16","Sean Albritton","Fairfield","Fr.","-","F","14","4"
"","Jaime Amaro","Bryant","Fr.","5-7","-","22","4"
"","Ethan Blake","Lindenwood","Sr.","5-9","F","21","4"
"","Austin Brummett","UConn","Sr.","6-0","F","20","4"
"","Jeremy Francou","Kansas City","Jr.","6-0","F","21","4"
"","Joe Highfield","Portland","So.","6-4","F","20","4"
"","David Ismail","Vermont","Sr.","6-4","F","19","4"
"","Daniel Ittycheria","Princeton","Sr.","6-2","F","16","4"
"","Samson Kpardeh","Gardner-Webb","So.","5-8","M","18","4"
"","Ricky Louis","Ga. Southern","So.","6-2","F","17","4"
"","Richard Monath","Delaware","Jr.","5-8","M","17","4"
"","Stephane Njike","Maryland","So.","5-10","F","18","4"
"","Ryan Okerayi","Houston Christian","Jr.","6-3","F","18","4"
"","Dominik Renz","Elon","So.","6-2","M","19","4"
"","Lilian Ricol","UCF","Jr.","6-2","F","21","4"
"","Stephan Soghomonian","SMU","So.","5-10","F","20","4"
"","Marius Stenner","Delaware","So.","6-0","F","17","4"
"","Tim Strele","Saint Peter's","Sr.","6-1","F","15","4"
"","Trace Terry","Bowling Green","Sr.","6-2","F","17","4"
"","Reon Tezuka","Niagara","Jr.","-","F","16","4"
"","Iain Wagner","San Diego","So.","5-9","M","19","4"
"37","Remi Agunbiade","Akron","So.","6-1","F","20","3"
"","Lucas Almeida","Siena","Jr.","6-1","F","18","3"
"","Shane Anderson","Purdue Fort Wayne","Sr.","5-9","M","17","3"
"","Peleg Armendariz","Cleveland St.","Jr.","5-8","M","18","3"
"","Martin Bakken","Dayton","Jr.","6-1","M","18","3"
"","Aiden Benitez","Butler","Fr.","-","F","16","3"
"","Niv Berkovitz","Santa Clara","Jr.","5-8","M","15","3"
"","Harrison Bertos","Washington","Jr.","6-1","D","23","3"
"","Zach Bohane","Stanford","Sr.","5-10","M","19","3"
"","Enbiya Bolur","Iona","Fr.","6-1","M","16","3"
"","Marko Borkovic","Ohio St.","Sr.","5-11","M","8","3"
"","Wilfer Bustamante","Furman","So.","5-8","F","23","3"
"","Daniel D'Ippolito","Fordham","Sr.","5-11","M","17","3"
"","Landon Darko","Syracuse","Fr.","-","M","20","3"
"","Mamadou Diarra","Fla. Atlantic","Sr.","5-10","F","18","3"
"","Samir Dishnica","Lafayette","Jr.","6-0","M","22","3"
"","Stefan Dobrijevic","Akron","Sr.","6-2","F","21","3"
"","Blake Donahue","Cornell","Fr.","6-0","F","20","3"
"","Enzo Dovlo","UNC Greensboro","Jr.","6-0","F","23","3"
"","Ask Ekeland","Boston College","Sr.","6-3","M","17","3"
"","Christian Engmann","San Diego St.","Sr.","6-3","D","17","3"
"","Ryan Farr","Stony Brook","Fr.","5-11","F","19","3"
"","Paco Fernandez","Bryant","Fr.","5-6","-","22","3"
"","Theo Franca","Saint Louis","Fr.","6-2","F","24","3"
"","Guilherme Gomes","St. John's (NY)","Fr.","6-2","D","18","3"
"","Mathis Guffroy","St. Thomas (MN)","Sr.","-","F","16","3"
"","Alan Hermitte","Grand Canyon","So.","6-1","F","20","3"
"","Diego Hernandez","Furman","Jr.","5-9","M","23","3"
"","Mads Horgoien","Marquette","Fr.","5-10","F","14","3"
"","Bardia Hormozi","Princeton","Jr.","5-10","FM","19","3"
"","Adriano Iannello","Marist","Fr.","5-8","F","16","3"
"","Angel Iniguez","San Jose St.","Sr.","5-6","M","20","3"
"","Elias Khodri","New Hampshire","Sr.","6-0","F","18","3"
"","Brock Kiper","Belmont","Jr.","6-5","F","17","3"
"","Theo Klein","Omaha","Sr.","5-11","F","12","3"
"","Denis Krioutchenkov","Charlotte","Sr.","6-3","F","16","3"
"","Matteo Landais","Lindenwood","Sr.","6-0","M","18","3"
"","Milton Lopez","SMU","Jr.","5-11","F","20","3"
"","Gage Lyons","UC Irvine","Jr.","6-0","F","21","3"
"","Kyle McGowan","Denver","Jr.","6-3","F","22","3"
"","Albi Ndrenika","Maryland","Sr.","5-10","M","18","3"
"","Geraldo Neto","North Florida","So.","6-3","F","19","3"
"","Edouard Nys","UIC","Jr.","5-8","M","18","3"
"","Franco Ocana","Gardner-Webb","Fr.","-","M","14","3"
"","Sebastian Otero","Boston U.","Fr.","5-8","M","17","3"
"","Oliver Pratt","Penn","Sr.","5-11","D","17","3"
"","David Raphael","San Francisco","So.","5-8","F","17","3"
"","Devonte Richards","Central Ark.","Sr.","6-4","FM","16","3"
"","Nathan Richmond","Clemson","Sr.","5-7","M","17","3"
"","Jacobo Sanfeliu","George Mason","Sr.","6-0","F","16","3"
"","Nicholas Simmonds","Virginia","Fr.","6-4","F","19","3"
"","Emil Seedorff Sorensen","Ga. Southern","Fr.","6-1","M","18","3"
"","Dagur Traustason","Virginia Tech","Fr.","-","F","12","3"
"","Keegan Walker","Green Bay","Jr.","5-9","M","16","3"
"","Sergio Zapata","Cornell","Fr.","5-9","F","20","3"
"","Zach Zengue","Georgetown","Sr.","5-9","M","22","3"
"","David de la Vibora Bonilla","Marshall","So.","5-7","F","21","3"

NCAA Men's Soccer
Division IShots on Goal Per Game
Through Games 12/15/2025


"Rank","Name","Team","Cl","Ht","Pos","Games","SoG","Per Game"
"1","Edouard Nys","UIC","Jr.","5-8","M","18","49","2.72"
"2","Mitchell Baker","Georgetown","So.","6-4","F","21","43","2.05"
"3","Arnau Farnos","Oregon St.","Sr.","5-9","M","17","34","2.00"
"","Donavan Phillip","NC State","Jr.","6-2","F","22","44","2.00"
"5","Daniel Burko","Hofstra","Sr.","6-3","F","20","38","1.90"
"6","Sergi Solans Ormo","UCLA","So.","6-2","F","19","35","1.84"
"7","Zach Zengue","Georgetown","Sr.","5-9","M","22","40","1.82"
"8","Laurie Goddard","Hofstra","Sr.","6-2","M","20","35","1.75"
"","Denis Krioutchenkov","Charlotte","Sr.","6-3","F","16","28","1.75"
"10","Samson Kpardeh","Gardner-Webb","So.","5-8","M","18","31","1.72"
"","Nathan Simes","Wofford","Jr.","6-1","F","18","31","1.72"
"12","Marcus Caldeira","West Virginia","Sr.","6-2","F","21","36","1.71"
"","Junior Diouf","Grand Canyon","Fr.","6-1","F","21","36","1.71"
"14","Elias Khodri","New Hampshire","Sr.","6-0","F","18","30","1.67"
"15","Shane Anderson","Purdue Fort Wayne","Sr.","5-9","M","17","28","1.65"
"16","Palmer Ault","Indiana","Sr.","5-10","F","19","31","1.63"
"17","Mathis Guffroy","St. Thomas (MN)","Sr.","-","F","16","25","1.56"
"18","Ryan Okerayi","Houston Christian","Jr.","6-3","F","18","28","1.56"
"19","Mikey Johnson","Delaware","Sr.","6-2","F","17","26","1.53"
"","Marius Stenner","Delaware","So.","6-0","F","17","26","1.53"
"","Trace Terry","Bowling Green","Sr.","6-2","F","17","26","1.53"
"22","Evan Howard","SIUE","Sr.","6-5","F","16","24","1.50"
"","Alvaro Maneiro","Iona","So.","5-10","M","18","27","1.50"
"","Drew Roskos","Bucknell","So.","5-8","F","18","27","1.50"
"25","Patrick Cayelli","Penn","Sr.","5-10","M","17","25","1.47"
"","Ransford Gyan","Clemson","So.","5-6","F","17","25","1.47"
"","Iann Topete","Purdue Fort Wayne","Sr.","5-11","F","17","25","1.47"
"28","Shane Fonseca","Stonehill","Sr.","5-10","F","18","26","1.44"
"29","Kyle Evans","Marist","Jr.","-","M","16","23","1.44"
"30","Enzo Dovlo","UNC Greensboro","Jr.","6-0","F","23","33","1.43"
"31","Taig Healy","NC State","Sr.","5-7","M","22","31","1.41"
"32","Lilian Ricol","UCF","Jr.","6-2","F","21","29","1.38"
"33","Daniel Ittycheria","Princeton","Sr.","6-2","F","16","22","1.38"
"34","William Fagerberg","Manhattan","So.","6-0","M","14","19","1.36"
"","Franco Ocana","Gardner-Webb","Fr.","-","M","14","19","1.36"
"36","Clarence Awoudor","UCF","Sr.","5-7","FM","21","28","1.33"
"","Isaac Emojong","Utah Valley","So.","6-2","FM","15","20","1.33"
"","Zack Lillington","UC Davis","Sr.","6-4","M","18","24","1.33"
"39","Zach Bohane","Stanford","Sr.","5-10","M","19","25","1.32"
"40","Declan Quill","Virginia Tech","Sr.","6-2","F","16","21","1.31"
"41","Nacho Abeal","North Carolina","Sr.","5-8","M","20","26","1.30"
"","Joe Highfield","Portland","So.","6-4","F","20","26","1.30"
"","Daniel Lugo","High Point","So.","6-2","F","20","26","1.30"
"44","Ivan Morcillo","Sacred Heart","So.","5-11","F","17","22","1.29"
"","Johan Nissen-Lie","Bellarmine","So.","6-3","F","17","22","1.29"
"","Joschi Schelb","Rutgers","Jr.","6-0","M","17","22","1.29"
"47","Gijs Verheul","Marist","So.","6-4","D","14","18","1.29"
"48","Will Wiersdorf","Santa Clara","Jr.","5-8","M","18","23","1.28"
"49","Samir Dishnica","Lafayette","Jr.","6-0","M","22","28","1.27"
"50","Cooper Forcellini","Xavier","Sr.","6-1","M","15","19","1.27"
"51","Bardia Hormozi","Princeton","Jr.","5-10","FM","19","24","1.26"
"52","Jakob Friedman","Monmouth","Sr.","5-8","F","16","20","1.25"
"","Ivar Orri Gissurarson","UAlbany","Jr.","6-5","M","16","20","1.25"
"","Rodrigo Mendes","UNC Asheville","Sr.","5-6","F","16","20","1.25"
"","Stephan Soghomonian","SMU","So.","5-10","F","20","25","1.25"
"56","Pablo Pozos","West Virginia","Jr.","6-0","F","21","26","1.24"
"57","Daniel D'Ippolito","Fordham","Sr.","5-11","M","17","21","1.24"
"","David Raphael","San Francisco","So.","5-8","F","17","21","1.24"
"59","Yeider Zuluaga","Seattle U","Sr.","5-11","M","13","16","1.23"
"60","Stephane Njike","Maryland","So.","5-10","F","18","22","1.22"
"61","Charlie Kosakoff","Washington","Jr.","5-11","F","23","28","1.22"
"62","Sean Albritton","Fairfield","Fr.","-","F","14","17","1.21"
"","Osei Gyamfi","UNCW","So.","5-9","M","14","17","1.21"
"","Aidan Kelly","Massachusetts","Sr.","-","D","14","17","1.21"
"","Dunes Nielsen","Utah Tech","So.","5-11","M","14","17","1.21"
"66","Cason Goodman","UC Davis","Sr.","6-3","F","19","23","1.21"
"67","David Ajagbe","Portland","So.","6-1","F","20","24","1.20"
"","Tim Strele","Saint Peter's","Sr.","6-1","F","15","18","1.20"
"69","Jaime Barbero","FDU","Sr.","5-9","F","21","25","1.19"
"","Mamadi Jiana","Bryant","Sr.","6-0","F","21","25","1.19"
"71","Blake D'Agostino","California Baptist","So.","6-2","F","16","19","1.19"
"","Liam Gainey","Western Ill.","Sr.","6-0","F","16","19","1.19"
"73","Ulfur Bjornsson","Duke","Jr.","6-3","F","17","20","1.18"
"","Matt Cence","Massachusetts","Sr.","-","M","17","20","1.18"
"","Fran Cortijo","Oregon St.","Sr.","5-11","D","17","20","1.18"
"","Samir-Mohamed Djeha","Georgia St.","So.","6-1","F","17","20","1.18"
"","Brady Geho","UMBC","So.","6-3","F","17","20","1.18"
"","Ricky Louis","Ga. Southern","So.","6-2","F","17","20","1.18"
"","Richard Monath","Delaware","Jr.","5-8","M","17","20","1.18"
"80","Lucas Almeida","Siena","Jr.","6-1","F","18","21","1.17"
"","Luka Lukic","California","Sr.","6-3","F","18","21","1.17"
"","Rui Reis","UIC","Sr.","5-9","M","18","21","1.17"
"","Lewis Rourke","Old Dominion","Jr.","6-2","F","18","21","1.17"
"","Sivert Ryssdalsnes","Quinnipiac","So.","-","M","18","21","1.17"
"85","Mario Carlos","Cal St. Fullerton","Sr.","6-0","F","19","22","1.16"
"","David Ismail","Vermont","Sr.","6-4","F","19","22","1.16"
"87","Jose de la Torre","Cal St. Fullerton","So.","5-7","M","20","23","1.15"
"88","Seth Hammond","St. Bonaventure","Sr.","5-7","M","15","17","1.13"
"","Bruno Rosa","Providence","Sr.","6-2","F","15","17","1.13"
"90","Archie Hatcher","Holy Cross","Fr.","5-11","F","16","18","1.13"
"","Noeh Hernandez","DePaul","Jr.","5-9","F","16","18","1.13"
"92","Ethan Ballek","South Carolina","Sr.","6-0","M","17","19","1.12"
"","Giorgos Diakos","Cornell","Sr.","-","F","17","19","1.12"
"","Ethan Sassine","Dayton","Sr.","5-10","F","17","19","1.12"
"","Vance Sheffield","NIU","Fr.","6-0","F","17","19","1.12"
"96","Steven Ramirez","San Diego","Jr.","5-11","F","18","20","1.11"
"97","Sergio Martinez Cubel","NJIT","Sr.","5-8","M","13","14","1.08"
"98","Nico Pendleton","Marquette","So.","5-11","M","14","15","1.07"
"99","Brando Bedolla","Longwood","So.","5-9","F","15","16","1.07"
"","Emile Kisse","Fordham","So.","5-11","F","15","16","1.07"
"101","Ian Abbey","Providence","Sr.","5-7","F","16","17","1.06"
"","Adam Abdelaal","Merrimack","So.","6-0","F","16","17","1.06"
"","Miguel Arilla","Creighton","Jr.","5-8","M","16","17","1.06"
"","Jack Bretzmann","Milwaukee","Fr.","5-10","F","16","17","1.06"
"","Sam Delgado","William & Mary","Sr.","-","F","16","17","1.06"
"","Andrew Kitch","Rutgers","Jr.","6-4","F","16","17","1.06"
"","Fumiya Shiraishi","Missouri St.","Sr.","5-7","F","16","17","1.06"
"108","Mitch Coughlon","Bradley","Jr.","6-2","F","17","18","1.06"
"","Katai Mukuka","NIU","So.","6-1","F","17","18","1.06"
"","Jack Stainrod","LIU","Sr.","6-2","F","17","18","1.06"
"","Joe Suchecki","Northwestern","Sr.","6-4","M","17","18","1.06"
"112","Trevor Islam","Stanford","So.","5-7","M","18","19","1.06"
"113","Ryan Farr","Stony Brook","Fr.","5-11","F","19","20","1.05"
"","Oskar Kaufmann","USC Upstate","So.","6-2","F","19","20","1.05"
"115","Andres Escudero","Evansville","Fr.","6-1","F","20","21","1.05"
"","Giacomo Zizza","Lehigh","So.","-","M","20","21","1.05"
"117","Stefan Dobrijevic","Akron","Sr.","6-2","F","21","22","1.05"
"118","Jaime Amaro","Bryant","Fr.","5-7","-","22","22","1.00"
"","Brayden Beason","San Francisco","So.","6-2","F","16","16","1.00"
"","Fabio Bozesan","South Fla.","Sr.","-","F","17","17","1.00"
"","Anthony Catanzaro","Central Conn. St.","Jr.","-","F","17","17","1.00"
"","Caleb Danquah","Stony Brook","Sr.","5-6","F","19","19","1.00"
"","David Davila","Southern Ind.","So.","6-3","F","14","14","1.00"
"","Mukisa Emmanuel","SMU","Jr.","5-10","F","20","20","1.00"
"","Jeremy Francou","Kansas City","Jr.","6-0","F","21","21","1.00"
"","Jose Antonio Herrera","IU Indy","Jr.","5-11","F","17","17","1.00"
"","Kenan Hot","Duke","Sr.","5-11","M","19","19","1.00"
"","Liam Jones","California Baptist","Fr.","5-10","MD","16","16","1.00"
"","Preston Kipnusu","Drake","So.","6-4","F","15","15","1.00"
"","Matt Lenert","Col. of Charleston","Jr.","6-4","F","17","17","1.00"
"","Sadam Masereka","Maryland","Sr.","5-9","F","19","19","1.00"
"","Arnold Matshazi","San Jose St.","So.","5-9","F","20","20","1.00"
"","Diogo Rebelo","NJIT","So.","5-8","FM","17","17","1.00"
"","Diego Robles","UIW","So.","-","-","18","18","1.00"
"","Tommaso Rossetto","Saint Joseph's","Sr.","6-1","F","18","18","1.00"
"","Donovan Sessoms","Sacramento St.","Jr.","5-10","F","17","17","1.00"
"","Dagur Traustason","Virginia Tech","Fr.","-","F","12","12","1.00"
"","Keegan Walker","Green Bay","Jr.","5-9","M","16","16","1.00"
"","Casey Welage","Eastern Ill.","Sr.","5-11","M","17","17","1.00"
"140","Alex Hall","Washington","So.","5-11","M","24","23","0.96"
"141","Balthazar Saunders","UConn","Sr.","6-0","M","21","20","0.95"
"142","Leo Conneh","Liberty","Jr.","5-7","F","20","19","0.95"
"143","Bienvenu Djunga","Milwaukee","Sr.","5-11","F","19","18","0.95"
"","Finlay Oliver","Stony Brook","Jr.","6-5","F","19","18","0.95"
"145","Martin Bakken","Dayton","Jr.","6-1","M","18","17","0.94"
"","Owen Burke","Stonehill","Sr.","5-11","M","18","17","0.94"
"","Guilherme Gomes","St. John's (NY)","Fr.","6-2","D","18","17","0.94"
"","Felix Kogler","Jacksonville","Sr.","6-3","F","18","17","0.94"
"","Oliver Moller-Jensen","Fla. Atlantic","Jr.","5-9","F","18","17","0.94"
"","Noe Robles","UIW","Jr.","-","-","18","17","0.94"
Reclassifying
"NR","Francesco Pagano","Le Moyne","Sr.","6-1","F","17","19","1.12"
"NR","Guilherme Meira","New Haven","Fr.","-","D","14","14","1.00"

NCAA Men's Soccer
Division IShots Per Game
Through Games 12/15/2025


"Rank","Name","Team","Cl","Ht","Pos","Games","ShAtt","Per Game"
"1","Edouard Nys","UIC","Jr.","5-8","M","18","99","5.50"
"2","Arnau Farnos","Oregon St.","Sr.","5-9","M","17","78","4.59"
"3","Shane Anderson","Purdue Fort Wayne","Sr.","5-9","M","17","70","4.12"
"4","Mitchell Baker","Georgetown","So.","6-4","F","21","79","3.76"
"","Junior Diouf","Grand Canyon","Fr.","6-1","F","21","79","3.76"
"6","Daniel Ittycheria","Princeton","Sr.","6-2","F","16","60","3.75"
"7","Donavan Phillip","NC State","Jr.","6-2","F","22","82","3.73"
"8","Jose de la Torre","Cal St. Fullerton","So.","5-7","M","20","72","3.60"
"9","Denis Krioutchenkov","Charlotte","Sr.","6-3","F","16","57","3.56"
"10","Laurie Goddard","Hofstra","Sr.","6-2","M","20","70","3.50"
"11","Zach Bohane","Stanford","Sr.","5-10","M","19","65","3.42"
"12","Ethan Ballek","South Carolina","Sr.","6-0","M","17","58","3.41"
"13","Bardia Hormozi","Princeton","Jr.","5-10","FM","19","64","3.37"
"14","Marius Stenner","Delaware","So.","6-0","F","17","57","3.35"
"15","Samson Kpardeh","Gardner-Webb","So.","5-8","M","18","60","3.33"
"","Zack Lillington","UC Davis","Sr.","6-4","M","18","60","3.33"
"17","Sergi Solans Ormo","UCLA","So.","6-2","F","19","63","3.32"
"18","Liam Jones","California Baptist","Fr.","5-10","MD","16","53","3.31"
"19","Ulfur Bjornsson","Duke","Jr.","6-3","F","17","56","3.29"
"","Daniel D'Ippolito","Fordham","Sr.","5-11","M","17","56","3.29"
"21","Taig Healy","NC State","Sr.","5-7","M","22","72","3.27"
"22","Joschi Schelb","Rutgers","Jr.","6-0","M","17","55","3.24"
"23","Zach Zengue","Georgetown","Sr.","5-9","M","22","71","3.23"
"24","Palmer Ault","Indiana","Sr.","5-10","F","19","61","3.21"
"25","Mikey Johnson","Delaware","Sr.","6-2","F","17","54","3.18"
"26","Mathis Guffroy","St. Thomas (MN)","Sr.","-","F","16","50","3.13"
"","Evan Howard","SIUE","Sr.","6-5","F","16","50","3.13"
"28","Marcus Caldeira","West Virginia","Sr.","6-2","F","21","65","3.10"
"29","Seth Hammond","St. Bonaventure","Sr.","5-7","M","15","46","3.07"
"30","Kyle Evans","Marist","Jr.","-","M","16","49","3.06"
"31","Ransford Gyan","Clemson","So.","5-6","F","17","52","3.06"
"32","Rui Reis","UIC","Sr.","5-9","M","18","55","3.06"
"33","Daniel Burko","Hofstra","Sr.","6-3","F","20","61","3.05"
"34","Samir Dishnica","Lafayette","Jr.","6-0","M","22","67","3.05"
"35","Noeh Hernandez","DePaul","Jr.","5-9","F","16","48","3.00"
"","Stephane Njike","Maryland","So.","5-10","F","18","54","3.00"
"","Diogo Rebelo","NJIT","So.","5-8","FM","17","51","3.00"
"","Trace Terry","Bowling Green","Sr.","6-2","F","17","51","3.00"
"39","Clarence Awoudor","UCF","Sr.","5-7","FM","21","62","2.95"
"40","Alvaro Maneiro","Iona","So.","5-10","M","18","53","2.94"
"41","Enzo Dovlo","UNC Greensboro","Jr.","6-0","F","23","67","2.91"
"42","Elias Khodri","New Hampshire","Sr.","6-0","F","18","52","2.89"
"","Drew Roskos","Bucknell","So.","5-8","F","18","52","2.89"
"44","Ricky Louis","Ga. Southern","So.","6-2","F","17","49","2.88"
"","Johan Nissen-Lie","Bellarmine","So.","6-3","F","17","49","2.88"
"","Ethan Sassine","Dayton","Sr.","5-10","F","17","49","2.88"
"47","Osei Gyamfi","UNCW","So.","5-9","M","14","40","2.86"
"","Nico Pendleton","Marquette","So.","5-11","M","14","40","2.86"
"49","Mario Carlos","Cal St. Fullerton","Sr.","6-0","F","19","54","2.84"
"50","Tommaso Rossetto","Saint Joseph's","Sr.","6-1","F","18","51","2.83"
"","Nathan Simes","Wofford","Jr.","6-1","F","18","51","2.83"
"52","William Fagerberg","Manhattan","So.","6-0","M","14","39","2.79"
"53","Sivert Ryssdalsnes","Quinnipiac","So.","-","M","18","50","2.78"
"54","Luca Nikolai","North Carolina","Jr.","6-1","D","20","55","2.75"
"","Declan Quill","Virginia Tech","Sr.","6-2","F","16","44","2.75"
"56","David Ismail","Vermont","Sr.","6-4","F","19","52","2.74"
"57","Isaac Emojong","Utah Valley","So.","6-2","FM","15","41","2.73"
"58","Ryan Okerayi","Houston Christian","Jr.","6-3","F","18","49","2.72"
"59","Franco Ocana","Gardner-Webb","Fr.","-","M","14","38","2.71"
"60","Matt Cence","Massachusetts","Sr.","-","M","17","46","2.71"
"","Ask Ekeland","Boston College","Sr.","6-3","M","17","46","2.71"
"62","Cason Goodman","UC Davis","Sr.","6-3","F","19","51","2.68"
"63","David Garcia Gallego","Sacred Heart","Sr.","5-9","M","18","48","2.67"
"","Will Wiersdorf","Santa Clara","Jr.","5-8","M","18","48","2.67"
"65","Brady Geho","UMBC","So.","6-3","F","17","45","2.65"
"66","Charlie Kosakoff","Washington","Jr.","5-11","F","23","60","2.61"
"67","David Ajagbe","Portland","So.","6-1","F","20","52","2.60"
"","Shuma Sasaki","Michigan","Sr.","5-7","M","15","39","2.60"
"69","Cesar Bahena","San Diego","Sr.","5-9","M","19","49","2.58"
"","Nicholas Simmonds","Virginia","Fr.","6-4","F","19","49","2.58"
"71","Mamadi Jiana","Bryant","Sr.","6-0","F","21","54","2.57"
"72","Nacho Abeal","North Carolina","Sr.","5-8","M","20","51","2.55"
"","Giacomo Zizza","Lehigh","So.","-","M","20","51","2.55"
"74","Robbie Lyons","Gardner-Webb","Sr.","-","M","17","43","2.53"
"","David Raphael","San Francisco","So.","5-8","F","17","43","2.53"
"","Iann Topete","Purdue Fort Wayne","Sr.","5-11","F","17","43","2.53"
"77","Kenan Hot","Duke","Sr.","5-11","M","19","48","2.53"
"","Collins Oduro","Indiana","Jr.","5-7","F","19","48","2.53"
"79","Jack Roman","Akron","So.","5-7","M","21","53","2.52"
"80","Sean Albritton","Fairfield","Fr.","-","F","14","35","2.50"
"","Rodrigo Mendes","UNC Asheville","Sr.","5-6","F","16","40","2.50"
"82","Patrick Cayelli","Penn","Sr.","5-10","M","17","42","2.47"
"","Giorgos Diakos","Cornell","Sr.","-","F","17","42","2.47"
